Name,Notes,City,State,Contact,Schedule,Address,Phone
Academy Brooklyn Center HQ,2023,Brooklyn Center,MN,Greg Nelson,? Not Listed ?,"6840 Shingle Creek Pkwy Ste #24, Brooklyn Center, MN 55430",763-560-5096
Academy Burnsville,,Burnsville,MN,,,"11921 Portland ave, Burnsville, MN 55337",952-977-8781
Academy Eden Prairie,Jan 01 24,Eden Prairie,MN,Hayden Buckner,? 5-7pm no gi,"7116 Shady Oak Rd, Eden Prairie, MN 55344",
Academy Plymouth,Feb 15 24,Plymouth,MN,,,"13605 27th Ave N, Plymouth, MN 55441",763-244-6122
Academy St. Paul Brazilian Jiujitsu Academy,,,,Brandon Bergeron,? No schedule,"322 Chester St, St Paul, MN 55107",651-600-6889
Alliance BJJ St. Croix,Feb 10 28,St. Croix,WI,Brian Olson,Sat 1045 - 1200 noon,,
Atheneum Martial Arts,2021,Medina,,,,,
Bellum Brazilian Jiujitsu,,St Paul,MN,Derek Barlow,Sat 8 - 10 am,"655 Fairview Ave N, Suite 260, St. Paul, MN 55104",
Cellar Gym The,Jan 27 24,Roseville,MN,"Ben Locken, Dave Margraf",Sat 1130 - 1230,"2480 Fairview Ave N, Suite #1, Roseville, MN 55113",
Club 37 Jiujitsu,17-May-25,Eau Claire,WI,,,,
Defiant Jiu-Jitsu,,,,,,,
DNA Jiujitsu,Jan 06 24,Minneapolis,MN,David Soto,Sat 12 - 2,"403 St 8th Ave, Minneapolis, MN 55414",
Grappler Station,Feb 09 25,St. Paul,MN,"Sensei Max, Sensei Carl",Sun 10 am Marathon BJJ,"2015 Ford Pkwy, St. Paul, MN 55116",612-356-2408
Great Lakes Combatives,Jul 25,Willmar,MN,"Trevor Haney, Daniel Zwilling",Saturday 930 - 1100,"1605 1st St South A01-02, Willmar, MN 56201",320-894-2990
Hamel Jiujitsu,,,MN,Darrin Homme,Sun 9-1030,"770 Tower Drive, Hamel, MN 55340",
Haus Jiu Jitsu,,Mendota Heights,MN,Jose Varella Barca,,"2535 Pilot Knob RD, Suite 126, Mendota Heights, MN 55120",
Integrative Defense Strategies,2023,Independence,,Todd Fossey,,"6315 W Main St, Independence, MN 55359",
Isanti Grappling Club,,,,,,101 Isanti Parkway Northeast Isanti MN 55040,
La Bodega Fitness and Fight Club,2025,Prior Lake,MN,Mitch White,"Fri 530 - 630, Sat 10-12","16861 Welcom Ave SE, Prior Lake, MN 55372",952-334-9336
Los Campeones,2025,,,Brandon Wilson,,"6440 James Cir N, Brooklyn Center, MN 55430",
McCune's Martial Arts,,,,,? 630 pm Sat 11 am Sun 530 am,"8616 Xylon Ave N, Brooklyn Park, MN 55445",763-416-0333
Motion City Jiujitsu,Nov/10/24,New Brighton,MN,"Michelle Donovan, Aiden, Brian",,"550 County Road D West #2, New Brighton, MN 55112",612-460-0116
MSMA Mn School of Martial Arts,"April 21, 24",Chisago City,MN,,Sunday 430 - 600 pm Open,"11217 Lake Blvd, Chisago City, MN 55013",
Mtheory Martial Arts,DAILY,St Louis Park,MN,Ishmael Bentley,,,
MTT Minnesota Top Team,2023,Eagan,,Jeremy Clark,Saturday 11 am - 1200 noon,"3500 Dodd Rd, Eagan, MN 55123",
Next Level Combat,,,,,,,
Prodigy Martial Arts,March 16 24,Blaine,,"Justin Kahmann, Thao Le","M+F 715-745, Sat 1045-1115","1630 101st Ave NE #190, Blaine, MN 55449",
Rebel Jiujitsu,,,,Tim Blackstone,,,
Rio Jitsu,,Apple Valley,MN,Joao Marinbo,,"6950 146th St W #118, Apple Valley, MN 55124",
Romulus Jiujitsu,May 13 2025,Golden Valley,MN,Coach Keir,,"8808 7th Ave N, Golden Valley, MN 55427",
Shoshin Ryu,2022,Plymouth,MN,Brian Combo / Mr. Robbie,Sat 12 - 1 Ground Training,"13605 27th Ave N, Plymouth, MN 55441",763-248-6122
Striking Institute,,Little Canada,MN,Kathy Bridges,,"3225 Country Dr #120, Little Canada, MN",
Stoic Martial Arts,April 27,Chanhassen,MN,Mason McClellan,Sat 10 am Gi Rolls,"1855 Park Rd, Chanhassen, MN 55317",952-900-5253
Tensei Jiujitsu,Mar 04 24,Minneapolis,MN,Fabio Moresca,,"6001 Lyndale Ave S, Studio 3, Minneapolis, MN 55419",
Tracks Brazilian Jiujitsu,,,,,,,
World Jiujitsu Academy,Jan 09 24,,,Jeremy Anderson,Tue 630 pm Marathon Roll,"6900 Shady Oak Rd #100, Eden Prairie, MN 55344",
Wrestle Jitsu,2022,St Cloud,MN,Jake Clark,,,
