Name,Contact,Schedule,Address,Phone
Academy Eden Prairie,Hayden Buckner,"5:00-7:00 PM (No Gi, day unknown)","7501 Washington Ave S, Minneapolis, MN 55439",952-377-8111
Academy Plymouth,,,"13605 27th Ave N, Plymouth, MN 55441",763-244-6122
Academy St. Paul Brazilian Jiujitsu Academy,Brandon Bergeron,,"322 Chester St, St Paul, MN 55107",651-600-6889
Academy Brooklyn Center,Greg Nelson,,"6840 Shingle Creek Pkwy Ste #24, Brooklyn Center, MN 55430",763-560-5896
Academy Burnsville,Justin Kratzke,,"11921 Portland ave, Burnsville, MN 55337",763-250-4640
Academy Elk River,Adam Ahern,,"17375 US-10, Elk River, MN 55330",763-691-8996
Alliance Jiujitsu,Damian Hertz,,"7887 Bush Lake Rd #2, Edina, MN 55439",952-942-1190
Alliance BJJ St. Croix,Brian Olson,Sat 10:45 AM-12:00 PM,"2801 Harvey St, Hudson, WI 54016, St. Croix, WI",715-629-0114
Akagi Jiujitsu,Topher,Sun 10:00 AM-1:00 PM,"9061 Lyndale Ave S, Bloomington, MN 55420",612-812-6257
American Top Team,,Fri (?),"14869 State Hwy 13, Prior Lake, MN 55372",952-440-5222
Apex Jiujitsu,Cris Johnson,"Thu 8:30 AM, Sat 11:00 AM","228 1/2 N. Central Ave, Duluth, MN 55807",218-269-2558
Atheneum Martial Arts,,,"825 Meander, Medina, MN 55340",612-953-3206
Black Arrow,,,"Brainerd, MN",
Checkmat S Mpls Brazilian Jiujitsu (Danger Room),Lemmy,,"Minneapolis, MN",715-529-0361
Club 37 Jiujitsu,Nick,,"4224 Shoreline Dr, Minneapolis, MN 55422, Eau Claire, WI",612-208-2433
Defiant Jiu-Jitsu,David Margraf,Sat 1130-130pm,"""8160 Coller Way St E, Woodbury, MN", Woodbury
DNA Jiujitsu,David Soto,Sat 12:00-2:00 PM,"403 St 8th Ave, Minneapolis, MN 55414, Woodbury, MN",612-521-5836
DOCS Gym,Dr. Greg J. Olson (DOC),Sat 1:00-3:00 PM,"3315 N Penn Ave, Minneapolis, MN 55411",612-591-1832
Doomsday BJJ/Sambo,Michael Padros,Sat 12:30-2:30 PM,"900 Ocean St, St Paul, MN 55106, Minneapolis, MN",218-269-0958
Drengr Jiujitsu,Dustin Lee Hjelle,"Sat (No Gi, time unknown)","230 E Superior St, Duluth, MN 55802",507-459-7794
Flow Jiujitsu,Noah Hauser,Sun 3:00-5:00 PM,"168 E 3rd St, Winona, MN 55987",
"Grace Jiujitsu Woodbury ""Excel Martial Arts"" ATA",,Sun 10:00 AM (Marathon BJJ),"2015 Ford Pkwy, St. Paul, MN 55116, Woodbury, MN",612-356-2408
Grappler Station,"Sensei Max, Sensei Carl",Sun 10:00 AM (Marathon BJJ),"2015 Ford Pkwy, St. Paul, MN 55116",612-356-2408
