Name,Notes,City,State,Contact,Schedule,Status,Address,Phone,Source,lat,lon,matched_address,confidence
Academy Eden Prairie,1-Jan-24,Eden Prairie,MN,Hayden Buckner,"5:00-7:00 PM (No Gi, day unknown)",,"7116 Shady Oak Rd, Eden Prairie, MN 55344",952-377-8111,Sheet1,44.875539,-93.405022,"7116, Shady Oak Road, Eden Prairie, Hennepin County, Minnesota, 55344, United States",OK
Academy Plymouth,15-Feb-24,Plymouth,MN,,,,"13605 27th Ave N, Plymouth, MN 55441",763-244-6122,Sheet1,45.008664,-93.452999,"13605, 27th Avenue North, Plymouth, Hennepin County, Minnesota, 55441, United States",OK
Academy St. Paul Brazilian Jiujitsu Academy,,St Paul,MN,Brandon Bergeron,,No Schedule,"322 Chester St, St Paul, MN 55107",651-600-6889,Sheet1,44.936470,-93.071787,"322, Chester Street, West Side, Saint Paul, Ramsey County, Minnesota, 55107, United States","CITY MISMATCH (expected St Paul, got Saint Paul)"
Academy Brooklyn Center,,Brooklyn Center,MN,Greg Nelson,,Not Listed,"6840 Shingle Creek Pkwy Ste #24, Brooklyn Center, MN 55430",763-560-5896,Sheet1,,,,NOT FOUND
Academy Burnsville,,Burnsville,MN,Justin Kratzke,,,"11921 Portland ave, Burnsville, MN 55337",763-250-4640,Sheet1,44.788338,-93.265310,"Cardinal Floors and Design, Inc, 11921, Portland Avenue, Burnsville, Dakota County, Minnesota, 55337, United States",OK
Academy Elk River,,Elk River,MN,Adam Ahern,,Not Listed,"17375 US-10, Elk River, MN 55330",763-691-8996,Sheet1,45.282759,-93.549430,"US 10;US 169, Elk River, Sherburne County, Minnesota, 55330, United States",OK
Alliance Jiujitsu,,Edina,MN,Damian Hertz,,Not Listed,"7887 Bush Lake Rd #2, Edina, MN 55439",952-942-1190,Sheet1,,,,NOT FOUND
Alliance BJJ St. Croix,10-Feb-24,St. Croix,WI,Brian Olson,Sat 10:45 AM-12:00 PM,,"2801 Harvey St, Hudson, WI 54016",715-629-0114,Sheet1,44.947749,-92.712108,"C1 Athletics - Crossfit St. Croix, 2801, Harvey Street, St. Croix Business Park, Hudson, Saint Croix County, Wisconsin, 54016, United States","CITY MISMATCH (expected St. Croix, got Hudson)"
Aikido Ryodokai of Minnesota,Aikido,Bloomington,MN,Topher,Sun 10:00 AM-1:00 PM,,"9061 Lyndale Ave S, Bloomington, MN 55420",612-812-6257,Sheet1,44.839568,-93.288476,"9061, Lyndale Avenue South, Bloomington, Hennepin County, Minnesota, 55420, United States",OK
Akagi Jiujitsu,Sundays,Prior Lake,MN,,Fri (?),,"14869 State Hwy 13, Prior Lake, MN 55372",952-440-5222,Sheet1,,,,NOT FOUND
